fpr,tpr_RF,tpr_ET,tpr_GBDT,tpr_DT,tpr_Voting
0.0,0.12152777777777778,0.14149305555555555,0.109375,0.0,0.13715277777777776
0.001,0.13152777777777777,0.14149305555555555,0.109375,0.005859281570727354,0.13715277777777776
0.002,0.1605902777777778,0.16331944444444446,0.13281250000000003,0.011718563141454709,0.15711805555555555
0.003,0.20538888888888887,0.24913194444444445,0.15885416666666666,0.017577844712182062,0.20138888888888892
0.004,0.2456597222222222,0.2638888888888889,0.17274305555555558,0.023437126282909417,0.2456597222222222
0.005,0.2456597222222222,0.2638888888888889,0.17274305555555558,0.02929640785363677,0.2456597222222222
0.006,0.26528472222222227,0.27849305555555554,0.18836805555555558,0.035155689424364124,0.25781250000000006
0.007,0.2760416666666667,0.2951388888888889,0.19097222222222224,0.04101497099509147,0.2717013888888889
0.008,0.27777777777777785,0.3064236111111111,0.20833333333333334,0.046874252565818834,0.2786458333333333
0.009000000000000001,0.27777777777777785,0.3064236111111111,0.20833333333333334,0.05273353413654619,0.2786458333333333
0.01,0.2890625,0.31597222222222227,0.24305555555555558,0.05859281570727354,0.2829861111111111
0.011,0.30372916666666666,0.3298611111111111,0.25434027777777773,0.06445209727800089,0.3003472222222222
0.012,0.3107638888888889,0.33940972222222227,0.2638888888888889,0.07031137884872825,0.3081597222222222
0.013000000000000001,0.3107638888888889,0.33940972222222227,0.2638888888888889,0.07617066041945561,0.3081597222222222
0.014,0.328125,0.3524305555555556,0.2717013888888889,0.08202994199018294,0.3194444444444444
0.015,0.3342361111111111,0.36111111111111116,0.27604166666666663,0.08788922356091029,0.3289930555555556
0.016,0.34251388888888895,0.3619791666666667,0.2803819444444445,0.09374850513163767,0.3342013888888889
0.017,0.3507430555555555,0.3654513888888889,0.3064236111111111,0.09960778670236502,0.34722222222222227
0.018000000000000002,0.35140972222222217,0.3654513888888889,0.3064236111111111,0.10546706827309238,0.34722222222222227
0.019,0.3576388888888889,0.37934027777777773,0.3168402777777778,0.11132634984381973,0.3506944444444444
0.02,0.3585069444444445,0.3845486111111111,0.3272569444444445,0.11718563141454708,0.3576388888888889
0.021,0.3671875,0.38715277777777773,0.3359375,0.12304491298527442,0.3663194444444444
0.022,0.3671875,0.38715277777777773,0.3359375,0.12890419455600177,0.3663194444444444
0.023,0.3758680555555556,0.3932291666666667,0.33940972222222227,0.13476347612672915,0.3723958333333333
0.024,0.37934027777777773,0.39496527777777785,0.3463541666666667,0.1406227576974565,0.3828125
0.025,0.38454861111111116,0.3967013888888889,0.359375,0.14648203926818384,0.38628472222222215
0.026000000000000002,0.38454861111111116,0.3967013888888889,0.359375,0.15234132083891122,0.38628472222222215
0.027,0.3967013888888889,0.4010416666666667,0.3645833333333333,0.15820060240963854,0.39496527777777773
0.028,0.4010416666666667,0.4079861111111111,0.37065972222222215,0.1640598839803659,0.3993055555555556
0.029,0.40277777777777773,0.4088541666666667,0.37152777777777773,0.1699191655510933,0.4071180555555556
0.03,0.4114583333333333,0.41753472222222227,0.375,0.17577844712182059,0.41232638888888884
0.031,0.4114583333333333,0.41753472222222227,0.375,0.181637728692548,0.41232638888888884
0.032,0.41853472222222227,0.4296875,0.3828125,0.18749701026327534,0.4166666666666667
0.033,0.4192708333333333,0.43142361111111116,0.3854166666666667,0.19335629183400269,0.4192708333333333
0.034,0.4288194444444445,0.4357638888888889,0.390625,0.19921557340473003,0.421875
0.035,0.4288194444444445,0.4357638888888889,0.390625,0.20507485497545738,0.421875
0.036000000000000004,0.43545833333333334,0.4392361111111111,0.3975694444444444,0.21093413654618476,0.42621527777777773
0.037,0.4375,0.4427083333333333,0.4036458333333333,0.21679341811691208,0.43402777777777785
0.038,0.4375,0.4618055555555556,0.40625,0.22265269968763945,0.4453125
0.039,0.4375,0.4618055555555556,0.40625,0.22851198125836678,0.4453125
0.04,0.4401041666666667,0.4661458333333333,0.41059027777777773,0.23437126282909415,0.4453125
0.041,0.4492083333333334,0.46875,0.4270833333333333,0.2402305443998215,0.4513888888888889
0.042,0.45138888888888884,0.47222222222222215,0.4348958333333333,0.24608982597054885,0.46875
0.043000000000000003,0.4592222222222222,0.4765625,0.4444444444444445,0.25194910754127625,0.4713541666666667
0.044,0.45988888888888885,0.4765625,0.4444444444444445,0.25780838911200354,0.4713541666666667
0.045,0.47222222222222227,0.48871527777777773,0.44704861111111116,0.2636676706827309,0.4756944444444444
0.046,0.47945138888888894,0.49652777777777785,0.4600694444444445,0.2695269522534583,0.4774305555555556
0.047,0.49392361111111116,0.5069444444444445,0.46440972222222215,0.27538623382418564,0.4869791666666667
0.048,0.49392361111111116,0.5069444444444445,0.46440972222222215,0.281245515394913,0.4869791666666667
0.049,0.4982638888888889,0.5121527777777778,0.4661458333333333,0.28710479696564034,0.49565972222222215
0.05,0.5069444444444444,0.5173611111111112,0.4765625,0.2929640785363677,0.5052083333333334
0.051000000000000004,0.5105625,0.5347222222222222,0.4826388888888889,0.29882336010709504,0.515625
0.052000000000000005,0.5112291666666667,0.5347222222222222,0.4826388888888889,0.30468264167782244,0.515625
0.053,0.525173611111111,0.5381944444444445,0.4904513888888889,0.31054192324854973,0.5190972222222222
0.054,0.5403402777777778,0.5520833333333334,0.5060763888888888,0.3164012048192771,0.5442708333333334
0.055,0.5460069444444445,0.5564236111111112,0.5104166666666666,0.3222604863900045,0.546875
0.056,0.5659791666666667,0.5616319444444444,0.5182291666666666,0.3281197679607318,0.5538194444444445
0.057,0.5666458333333333,0.5616319444444444,0.5182291666666666,0.3339790495314592,0.5538194444444445
0.058,0.5711805555555556,0.5659722222222222,0.5243055555555555,0.3398383311021866,0.5659722222222222
0.059000000000000004,0.5775277777777778,0.5763888888888888,0.5277777777777778,0.3456976126729139,0.576388888888889
0.06,0.5817361111111111,0.5772569444444445,0.5373263888888888,0.35155689424364117,0.5789930555555556
0.061,0.5830694444444444,0.5772569444444445,0.5373263888888888,0.3574161758143686,0.5789930555555556
0.062,0.5850694444444443,0.5789930555555555,0.5381944444444444,0.363275457385096,0.5859375
0.063,0.5859375,0.5815972222222222,0.5399305555555555,0.36913473895582327,0.5894097222222222
0.064,0.5904097222222222,0.5902777777777778,0.5494791666666666,0.3749940205265507,0.6059027777777778
0.065,0.5910763888888889,0.5902777777777778,0.5494791666666666,0.38085330209727797,0.6059027777777778
0.066,0.5975486111111111,0.5946180555555557,0.5564236111111112,0.38671258366800537,0.609375
0.067,0.6006944444444445,0.5963541666666666,0.5607638888888888,0.3925718652387327,0.611111111111111
0.068,0.603298611111111,0.6015625,0.564236111111111,0.39843114680946007,0.615451388888889
0.069,0.603298611111111,0.6015625,0.564236111111111,0.4042904283801874,0.615451388888889
0.07,0.6085069444444444,0.6067708333333334,0.5677083333333334,0.41014970995091476,0.626736111111111
0.07100000000000001,0.6119791666666666,0.6067708333333334,0.5737847222222223,0.4160089915216421,0.6284722222222222
0.07200000000000001,0.6171875,0.607638888888889,0.5824652777777778,0.4218682730923695,0.6328125
0.073,0.6241875,0.611111111111111,0.5859375,0.42772755466309675,0.6354166666666666
0.074,0.6248541666666667,0.611111111111111,0.5859375,0.43358683623382416,0.6354166666666666
0.075,0.6267361111111112,0.6137152777777778,0.5946180555555555,0.4394461178045515,0.6380208333333334
0.076,0.6276041666666666,0.6154513888888888,0.6041666666666666,0.4453053993752789,0.6475694444444443
0.077,0.6319444444444445,0.6189236111111112,0.6059027777777778,0.4511646809460062,0.6475694444444443
0.078,0.6319444444444445,0.6189236111111112,0.6059027777777778,0.45702396251673355,0.6475694444444443
0.079,0.6388888888888888,0.6223958333333334,0.6067708333333334,0.4628832440874609,0.650173611111111
0.08,0.642361111111111,0.6258680555555555,0.6119791666666666,0.4687425256581883,0.6571180555555555
0.081,0.6449652777777777,0.6284722222222222,0.6180555555555555,0.4746018072289156,0.6597222222222222
0.082,0.6449652777777777,0.6284722222222222,0.6180555555555555,0.480461088799643,0.6597222222222222
0.083,0.6464791666666666,0.6302083333333334,0.6215277777777778,0.5029708333333333,0.6666666666666666
0.084,0.6493263888888888,0.6371527777777777,0.6258680555555555,0.5072004852744311,0.6701388888888888
0.085,0.6510416666666666,0.6388888888888888,0.626736111111111,0.5114301372155288,0.6762152777777778
0.08600000000000001,0.6510416666666666,0.640625,0.6284722222222222,0.5156651310369683,0.677951388888889
0.08700000000000001,0.6510416666666666,0.640625,0.6284722222222222,0.5199802530635362,0.677951388888889
0.088,0.657986111111111,0.6501736111111112,0.6302083333333334,0.5242953750901039,0.6796875
0.089,0.6597222222222222,0.654513888888889,0.6319444444444445,0.5286104971166719,0.6831597222222222
0.09,0.662326388888889,0.65625,0.6328125,0.5329256191432395,0.685763888888889
0.091,0.662326388888889,0.65625,0.6328125,0.5372407411698074,0.685763888888889
0.092,0.6657986111111112,0.65625,0.6371527777777778,0.5415558631963753,0.6892361111111112
0.093,0.6682708333333333,0.6597222222222223,0.6371527777777778,0.5458709852229431,0.6918402777777778
0.094,0.6727430555555555,0.6710069444444445,0.6397569444444445,0.5501861072495108,0.6961805555555555
0.095,0.6727430555555555,0.6710069444444445,0.6397569444444445,0.5545012292760787,0.6961805555555555
0.096,0.6753472222222223,0.6727430555555557,0.6414930555555555,0.5588163513026465,0.7039930555555555
0.097,0.677951388888889,0.6796875,0.6449652777777778,0.5631314733292143,0.7074652777777778
0.098,0.6796875,0.6796875,0.6449652777777778,0.567446595355782,0.7074652777777778
0.099,0.6814236111111112,0.6840277777777778,0.6475694444444444,0.5717617173823499,0.709201388888889
0.1,0.6814236111111112,0.6840277777777778,0.6475694444444444,0.5760768394089177,0.709201388888889
0.101,0.6822916666666666,0.6840277777777778,0.6493055555555555,0.5803919614354855,0.7100694444444445
0.10200000000000001,0.6840277777777777,0.6857638888888888,0.6536458333333334,0.5847070834620535,0.7100694444444445
0.10300000000000001,0.6848958333333334,0.6866319444444443,0.657986111111111,0.589206233266399,0.7118055555555555
0.10400000000000001,0.6848958333333334,0.6866319444444443,0.657986111111111,0.5948803296519412,0.7118055555555555
0.105,0.6892361111111112,0.6927083333333334,0.6597222222222222,0.5989016482597055,0.7152777777777777
0.106,0.6961805555555555,0.6935763888888888,0.6631944444444445,0.6025924113119143,0.7170138888888888
0.107,0.6979166666666666,0.6944444444444445,0.6631944444444445,0.6062831743641232,0.7204861111111112
0.108,0.6979166666666666,0.6944444444444445,0.6631944444444445,0.6099739374163319,0.7204861111111112
0.109,0.6979166666666666,0.6953125,0.6666666666666666,0.6102430555555555,0.7213541666666666
0.11,0.7013541666666666,0.6961805555555555,0.6684027777777778,0.6112847222222223,0.7239583333333334
0.111,0.7024722222222223,0.6970486111111112,0.6710069444444445,0.6131905864197531,0.7265625
0.112,0.704861111111111,0.7039930555555555,0.6727430555555555,0.6155632716049383,0.734375
0.113,0.704861111111111,0.7039930555555555,0.6727430555555555,0.6163040123456791,0.734375
0.114,0.7118055555555557,0.7065972222222222,0.6744791666666666,0.6171495707947531,0.7387152777777777
0.115,0.7135416666666666,0.7100694444444443,0.6753472222222222,0.6180361448688272,0.7395833333333334
0.116,0.7144097222222222,0.7109375,0.6770833333333334,0.6189227189429013,0.7430555555555557
0.117,0.7144097222222222,0.7109375,0.6770833333333334,0.6198092930169753,0.7430555555555557
0.11800000000000001,0.7170138888888888,0.7118055555555557,0.6779513888888888,0.6206958670910495,0.7430555555555557
0.11900000000000001,0.7190902777777778,0.7152777777777778,0.6788194444444445,0.6215824411651235,0.7430555555555557
0.12,0.7239583333333334,0.7178819444444445,0.6814236111111112,0.6224690152391975,0.7430555555555557
0.121,0.7239583333333334,0.7178819444444445,0.6814236111111112,0.6233555893132716,0.7430555555555557
0.122,0.7239583333333334,0.7196180555555555,0.6814236111111112,0.6242421633873457,0.7473958333333334
0.123,0.7256944444444445,0.7222222222222223,0.6822916666666666,0.625083984375,0.7482638888888888
0.124,0.7265625,0.7230902777777778,0.6840277777777777,0.625896484375,0.75
0.125,0.7282986111111112,0.7256944444444445,0.6866319444444445,0.6267089843750001,0.7508680555555557
0.126,0.7282986111111112,0.7256944444444445,0.6866319444444445,0.627521484375,0.7508680555555557
0.127,0.7282986111111112,0.7274305555555557,0.6875,0.628333984375,0.7543402777777778
0.128,0.7291666666666666,0.7291666666666666,0.6883680555555555,0.6288825954861111,0.756076388888889
0.129,0.7291666666666666,0.7291666666666666,0.6901041666666666,0.6290700954861111,0.7578125
0.13,0.7291666666666666,0.7291666666666666,0.6901041666666666,0.6296603732638889,0.7578125
0.131,0.7309027777777778,0.7291666666666666,0.6918402777777778,0.6302506510416667,0.7612847222222222
0.132,0.7332916666666667,0.7291666666666666,0.6918402777777778,0.6308613281250001,0.7612847222222222
0.133,0.7352430555555555,0.7291666666666666,0.6918402777777778,0.6315002170138889,0.7612847222222222
0.134,0.7352430555555555,0.7291666666666666,0.6918402777777778,0.6321691984953705,0.7612847222222222
0.135,0.7352430555555555,0.7309027777777778,0.6944444444444445,0.632838179976852,0.7621527777777777
0.136,0.7369791666666666,0.7335069444444445,0.6961805555555557,0.6335071614583333,0.765625
0.137,0.7395833333333334,0.7335069444444445,0.6979166666666666,0.6341761429398148,0.7690972222222222
0.138,0.7395833333333334,0.7335069444444445,0.6979166666666666,0.6348451244212963,0.7690972222222222
0.139,0.7395833333333334,0.7335069444444445,0.701388888888889,0.6355141059027778,0.7717013888888888
0.14,0.7404513888888888,0.7352430555555555,0.7022569444444445,0.6361830873842593,0.7734375
0.14100000000000001,0.7421875,0.7352430555555555,0.703125,0.6368520688657408,0.7786458333333334
0.14200000000000002,0.7422847222222222,0.7378472222222222,0.7065972222222222,0.6375210503472223,0.7786458333333334
0.14300000000000002,0.7436180555555555,0.7378472222222222,0.7065972222222222,0.6381900318287037,0.7786458333333334
0.14400000000000002,0.7444375000000001,0.7378472222222222,0.7118055555555555,0.6388590133101851,0.7821180555555555
0.145,0.7456597222222222,0.7404513888888888,0.712673611111111,0.6395279947916667,0.7847222222222222
0.146,0.7456597222222222,0.7413194444444443,0.71875,0.6401969762731482,0.7847222222222222
0.147,0.7456597222222222,0.7413194444444443,0.71875,0.6408659577546296,0.7847222222222222
0.148,0.7456597222222222,0.7430555555555555,0.7222222222222223,0.6415349392361112,0.7855902777777777
0.149,0.7473958333333334,0.743923611111111,0.7230902777777778,0.6422039207175926,0.7855902777777777
0.15,0.7482638888888888,0.7465277777777777,0.7230902777777778,0.6428729021990741,0.7855902777777777
0.151,0.7482638888888888,0.7465277777777777,0.7230902777777778,0.6435418836805555,0.7855902777777777
0.152,0.7482638888888888,0.7465277777777777,0.7256944444444443,0.6442108651620371,0.7873263888888888
0.153,0.7504375,0.7526041666666666,0.7256944444444443,0.6451441695601852,0.7881944444444443
0.154,0.751736111111111,0.7560763888888888,0.7265625,0.6462159288194445,0.7881944444444443
0.155,0.751736111111111,0.7569444444444445,0.7265625,0.6472876880787037,0.7881944444444443
0.156,0.751736111111111,0.7569444444444445,0.7265625,0.6483594473379629,0.7881944444444443
0.157,0.7539722222222222,0.7569444444444445,0.7300347222222223,0.6497129526289682,0.7890625
0.158,0.754638888888889,0.7569444444444445,0.7300347222222223,0.6511603732638889,0.7907986111111112
0.159,0.7578125,0.7578125,0.7309027777777778,0.6526077938988096,0.7925347222222223
0.16,0.7578125,0.7578125,0.7309027777777778,0.6540552145337301,0.7925347222222223
0.161,0.759548611111111,0.7621527777777777,0.7335069444444445,0.6551276351686508,0.7934027777777778
0.162,0.7612847222222222,0.7647569444444443,0.7413194444444445,0.6571569271486006,0.7934027777777778
0.163,0.7630208333333334,0.7673611111111112,0.7413194444444445,0.6600546401811821,0.7942708333333334
0.164,0.7630208333333334,0.7673611111111112,0.7413194444444445,0.6629523532137637,0.7942708333333334
0.165,0.7638888888888888,0.7673611111111112,0.7421875,0.665850066246345,0.7942708333333334
0.166,0.7647569444444443,0.7699652777777778,0.7439236111111112,0.6695798725328946,0.7951388888888888
0.167,0.7649791666666667,0.7734375,0.7447916666666666,0.673787109375,0.7951388888888888
0.168,0.7673611111111112,0.7743055555555555,0.7447916666666666,0.6779943462171053,0.7960069444444443
0.169,0.7673611111111112,0.7743055555555555,0.7447916666666666,0.6822015830592106,0.7960069444444443
0.17,0.770451388888889,0.7760416666666666,0.7456597222222222,0.6864088199013159,0.7960069444444443
0.171,0.7708333333333334,0.7777777777777778,0.7465277777777777,0.6897144363730506,0.798611111111111
0.17200000000000001,0.771701388888889,0.7777777777777778,0.7473958333333334,0.6918105621040449,0.8003472222222222
0.17300000000000001,0.771701388888889,0.7777777777777778,0.7473958333333334,0.6939066878350392,0.8003472222222222
0.17400000000000002,0.7743055555555557,0.7795138888888888,0.75,0.6960028135660332,0.8003472222222222
0.17500000000000002,0.7795138888888888,0.7795138888888888,0.7508680555555557,0.6980989392970273,0.8012152777777777
0.176,0.7803819444444443,0.78125,0.7526041666666666,0.7001950650280214,0.8020833333333334
0.177,0.7803819444444443,0.78125,0.7526041666666666,0.7022911907590155,0.8020833333333334
0.178,0.78125,0.7847222222222222,0.7526041666666666,0.7043873164900097,0.8038194444444443
0.179,0.7838541666666666,0.7855902777777778,0.7543402777777778,0.7064834422210039,0.8072916666666666
0.18,0.7855902777777777,0.7864583333333334,0.7552083333333334,0.7085795679519981,0.8081597222222223
0.181,0.7855902777777777,0.787326388888889,0.7552083333333334,0.7106756936829922,0.8098958333333334
0.182,0.7855902777777777,0.787326388888889,0.7552083333333334,0.7127718194139864,0.8098958333333334
0.183,0.7873263888888888,0.7899305555555557,0.7578125,0.7148679451449805,0.8116319444444445
0.184,0.7873263888888888,0.7934027777777777,0.7586805555555557,0.7169640708759747,0.8125
0.185,0.7891319444444443,0.7942708333333334,0.7621527777777778,0.7190601966069687,0.8125
0.186,0.7897986111111112,0.7942708333333334,0.7621527777777778,0.7211563223379631,0.8125
0.187,0.7907986111111112,0.7942708333333334,0.7621527777777778,0.7256314380787036,0.8125
0.188,0.7916666666666666,0.796875,0.765625,0.7263645729993385,0.8133680555555557
0.189,0.7916666666666666,0.7977430555555555,0.7673611111111112,0.7270977079199735,0.8133680555555557
0.19,0.7916666666666666,0.7977430555555555,0.7673611111111112,0.7278308428406084,0.8133680555555557
0.191,0.7925347222222222,0.798611111111111,0.7690972222222223,0.7285639777612434,0.8142361111111112
0.192,0.7942708333333334,0.7994791666666666,0.7717013888888888,0.7292971126818784,0.8151041666666666
0.193,0.7942708333333334,0.7994791666666666,0.7717013888888888,0.7300302476025132,0.8151041666666666
0.194,0.7942708333333334,0.7994791666666666,0.7717013888888888,0.7307633825231482,0.8151041666666666
0.195,0.7942708333333334,0.8012152777777778,0.7725694444444443,0.7309467489252645,0.8159722222222222
0.196,0.7942708333333334,0.8029513888888888,0.7760416666666666,0.731124328290344,0.8159722222222222
0.197,0.7951388888888888,0.8029513888888888,0.7803819444444443,0.7312457010582011,0.8168402777777777
0.198,0.7951388888888888,0.8055555555555555,0.7821180555555555,0.7312774470899471,0.8177083333333334
0.199,0.7951388888888888,0.8055555555555555,0.7821180555555555,0.7313091931216932,0.8177083333333334
0.2,0.7960069444444445,0.810763888888889,0.7864583333333334,0.7313409391534392,0.818576388888889
0.201,0.8003472222222222,0.8116319444444445,0.7881944444444445,0.7313726851851851,0.8194444444444445
0.202,0.8012152777777777,0.8116319444444445,0.7907986111111112,0.7314044312169311,0.8194444444444445
0.203,0.8012152777777777,0.8116319444444445,0.7907986111111112,0.7314361772486772,0.8194444444444445
0.20400000000000001,0.8029513888888888,0.8125,0.7907986111111112,0.7314679232804232,0.8211805555555555
0.20500000000000002,0.8046875,0.8125,0.7925347222222223,0.7315951554232804,0.8211805555555555
0.20600000000000002,0.8046875,0.8151041666666666,0.7925347222222223,0.731793568121693,0.8211805555555555
0.20700000000000002,0.8046875,0.8151041666666666,0.7925347222222223,0.7319919808201057,0.8211805555555555
0.20800000000000002,0.8077152777777777,0.8151041666666666,0.7925347222222223,0.7321903935185184,0.8211805555555555
0.209,0.8081597222222222,0.8151041666666666,0.7934027777777778,0.7323888062169311,0.8229166666666666
0.21,0.8081597222222222,0.8159722222222222,0.7934027777777778,0.7325872189153438,0.8237847222222223
0.211,0.8090277777777777,0.818576388888889,0.796875,0.7327856316137566,0.8237847222222223
0.212,0.8090277777777777,0.818576388888889,0.796875,0.7329840443121692,0.8237847222222223
0.213,0.8090277777777777,0.818576388888889,0.796875,0.7331824570105819,0.8246527777777778
0.214,0.8090277777777777,0.8194444444444445,0.7994791666666666,0.7334113433590875,0.8246527777777778
0.215,0.8099999999999999,0.8211805555555557,0.8046875,0.7337153065213392,0.8272569444444445
0.216,0.8106666666666666,0.8211805555555557,0.8046875,0.7342302071835908,0.8272569444444445
0.217,0.8116319444444445,0.8255208333333334,0.8055555555555557,0.7347451078458426,0.828125
0.218,0.8116319444444445,0.8263888888888888,0.8055555555555557,0.735260008508094,0.8289930555555555
0.219,0.8152708333333333,0.8263888888888888,0.8055555555555557,0.7357749091703458,0.8298611111111112
0.22,0.8159375,0.8263888888888888,0.8055555555555557,0.7362898098325975,0.8298611111111112
0.221,0.8159722222222222,0.8272569444444443,0.8072916666666666,0.7368047104948491,0.8298611111111112
0.222,0.8159722222222222,0.8289930555555555,0.8081597222222222,0.7373196111571008,0.8307291666666666
0.223,0.8177083333333334,0.8289930555555555,0.8081597222222222,0.7378345118193524,0.8307291666666666
0.224,0.818576388888889,0.8298611111111112,0.8081597222222222,0.7383494124816042,0.8315972222222223
0.225,0.818576388888889,0.8298611111111112,0.8081597222222222,0.7388643131438557,0.8315972222222223
0.226,0.818576388888889,0.8298611111111112,0.8107638888888888,0.7395859790390823,0.8315972222222223
